A,B,C,D,xと最小誤差を取るid,最小誤差x,yと最小誤差を取るid,最小誤差y,最小誤差xの2条,最小誤差yの2条,xとyの和,ルート,,最終的に最終誤差を取ったid,誤差の値
1,28144575,135.7433889,35.04918704,2,0.0002714,13,0.00000604,7.37E-08,3.65E-11,7.37E-08,0.000271467,,2,0.000271469
2,28144575,135.7431175,35.0491809,6,0.0002714,12,0.00000006,7.37E-08,3.60E-15,7.37E-08,0.0002714,,6,0.000271469
3,28144575,135.7428333,35.04918096,13,0.0001749,13,0.00000004,3.06E-08,1.60E-15,3.06E-08,0.0001749,,13,0.0001749
4,28144575,135.744,35.04920085,5,0.0000068,5,0.00000015,4.62E-11,2.25E-14,4.63E-11,6.80E-06,,5,6.80E-06
5,28144575,135.7439932,35.0492007,22,0.0000068,22,0.00000015,4.62E-11,2.25E-14,4.63E-11,6.80E-06,,22,6.80E-06
6,28144575,135.7433889,35.04918704,2,0.0002714,13,0.00000604,7.37E-08,3.65E-11,7.37E-08,0.000271467,,2,0.000271469
7,28144575,135.7465556,35.04950372,53,0.000023,53,0.00000372,5.29E-10,1.38E-11,5.43E-10,2.33E-05,,53,2.33E-05
8,28144575,135.7465326,35.0495,52,0.000023,52,0.00000372,5.29E-10,1.38E-11,5.43E-10,2.33E-05,,52,2.33E-05
9,28144575,135.7465,35.04949474,53,0.0000326,53,0.00000526,1.06E-09,2.77E-11,1.09E-09,3.30E-05,,53,3.30E-05
10,28144575,135.7460266,35.0494182,23,0.0000266,23,0.00000444,7.08E-10,1.97E-11,7.27E-10,2.70E-05,,23,2.70E-05
11,28144575,135.746,35.04941376,10,0.0000266,10,0.00000444,7.08E-10,1.97E-11,7.27E-10,2.70E-05,,10,2.70E-05
12,28144575,135.7428333,35.04918096,13,0.0001749,13,0.00000004,3.06E-08,1.60E-15,3.06E-08,0.0001749,,13,0.0001749
13,28144575,135.7426584,35.049181,12,0.0001749,12,0.00000004,3.06E-08,1.60E-15,3.06E-08,0.0001749,,12,0.0001749
